id,heading,publisher,amplifiesdisadvantagedvoice,dispargesdisadvantaged,recognisesintersectionality,provideshumanexamples,focusesonsolutions,firstnations,racialminorities,women,children,youngpeople,unemployedorprecariouslyemployed,peoplewithdisabilitiesorchronichealthconditions,shelter,healthcare_health,familyrelations,violence,voice,work,crime_criminaljustice,inequality,prejudiceanddiscrimination_general
192,The Advertiser Celebrate AFLW,News,0.333333333,0,0,0.5,0.333333333,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
193,The Advertiser Find the facts to stop more awful deaths,News,0,0,0,1,0.666666667,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
194,The Advertiser Human face of terrible abandonment,News,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
195,The Advertiser Job figures drive home big challenge,News,0,0,0,0,0.333333333,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
196,The Advertiser Never turn a blind eye to violence,News,0.5,0,0,0.5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
197,The Advertiser Take positive action to beat hidden crisis,News,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
198,THERE’S A CATCH WITH THE EQUAL PAY PITCH,News,0.666666667,1,0,0,0.333333333,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
199,Tiny wage is not a good look,News,0.333333333,0,1,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
200,TREASURER’S CREDIBILITY JUST WENT BACKWARDS BY $60BN,News,0.333333333,0,0.5,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
201,VIOLENCE MESSAGE IS ALL TALK,News,0.5,0,0,1,0.666666667,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
202,"Wake up, Australia, there will be no easy snapback",News,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
203,A squabble about indigenous identity has brought one of the key participants undone,News,0.833333333,0,0,0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
204,A voice for First Nations should be beyond the reach of the judiciary,News,0.833333333,0,0,0,0.333333333,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
205,ABC IGNORES RACE TRUTHS,News,0.666666667,1,0,0,0.333333333,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
206,Abuse in WA must be stopped,News,1,0.5,1,1,0.666666667,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
207,Activist High Court takes nation into tricky territory,News,0.5,0.5,0,0,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Activist majority’s alien view of judicial power,News,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
209,Deadly menace of family violence must be quelled,News,1,0,1,1,0.666666667,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0
210,FOOLISH RULING WIDENS INDIGENOUS GAP INTO A CHASM,News,0.166666667,0.5,0,0,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
211,Footy can take lead from NRL,News,0,0,0.5,0.5,0.666666667,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
212,"IF SEPARATISM IS SUCH MISERY, DO WE TRY INTEGRATION?",News,0,1,0.5,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
213,Indigenous ready to take initiatives to close the gap,News,1,0.5,1,0,0.666666667,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
214,INDIGENOUS VOICE WILL BE HEARD LOUD AND PROUD,News,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
215,Just change one word and let us move on to real reform,News,0.333333333,1,0,0,0.333333333,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
216,LEFT IS FIGHTING TO CONTROL OUR HIGH COURT,News,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
217,LET’S NEVER CONCEDE TO THE MORAL MATRIX OF THE TRIBE,News,0,1,0.5,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
218,LET’S SLASH INDIGENOUS SENTENCES BY A QUARTER,News,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
219,LET’S WORK FOR INDIGENOUS JOBS,News,0.333333333,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
220,Looking out for the most vulnerable in community,News,0.75,0,0.5,0.5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
221,Prison stems from disadvantage and entrenches it,News,0.166666667,0,1,1,0.666666667,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
222,Reopening schools a milestone,News,0.166666667,0,0.5,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
223,Rio cops fallout of caves error,News,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,The Advertiser Sign of the times,News,0.666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,THIS IS THE LAW I KNOW,News,1,1,0.5,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
226,TIDE TURNS ON WAVE OF ALCOHOL-BASED ABUSE WHEN ACCESS IS RESTRICTED,News,1,0,1,1,0.666666667,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
227,TRUTH IS KEPT LOCKED UP,News,0.5,1,0.5,1,0.333333333,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
228,U.S. BURNS BUT WE JUST TURN AWAY,News,0.166666667,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
229,WE NEED TO TURN OUR RESEARCH EYES TOWARD HOME MUCH MORE OFTEN,News,0.333333333,0,0,0,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,WHERE ARE ALL THE DOLLARS STOLEN FROM ABORIGINES?,News,0.833333333,0,0,0.5,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
231,WHY DROP THE BALL ON OUR KEY INDIGENOUS TARGETS?,News,0.5,0.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
232,Bloody past still unresolved,Others,0.5,0.5,0,0.5,0.333333333,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
233,Diversity is not a priority,News,0,1,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,No reason to go soft on hate,Fairfax,0.666666667,1,0,0,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
235,We need to stop being bystanders,Fairfax,1,0,0.5,0.5,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
236,IDEALISM IS HATRED IN DISGUISE,News,0.5,1,0.5,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
237,"In grim times, we need all our wits, not word games",News,0.666666667,0,0.5,0,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,"ONCE AGAIN, BILL MISSES THE MARK",News,0,0,0.5,0,0.333333333,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
239,Populate and perish? At last Australia stands up to those migrants we just don’t need,News,0.5,1,0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
240,Religious freedom bill a nightmare for employers,Fairfax,0,0,0.5,0.5,0.333333333,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
241,Hating women online - a refuge of scoundrels,Fairfax,1,0,1,1,0.666666667,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
242,Young Australians taking a hard look at political world,Fairfax,1,0,0.5,0.5,0.333333333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
243,Taxpayer-funded priests - should that really be allowed?,Others,0.333333333,0,0,0.5,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
244,ALBO AND LABOR IN A CORNER,News,0.166666667,0.5,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,CALIFORNIA DREAMIN’? MORE AN IDENTITY-QUOTA TERROR,News,0.333333333,0.5,0.5,0,0.333333333,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
246,LEFT’S VIEW SHOWS IT’S TIME FOR ANOTHER LABOR SPLIT,News,0.5,0.5,0.5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
247,"Got a sensible idea for communal harmony? Who cares, we’ve got critical race theory",News,0.333333333,0,0.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
248,Cutting the roots of family violence,Fairfax,0.166666667,0.5,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0
249,"Dear J.K. Rowling, let's end this toxic 'debate'",Fairfax,0.5,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
250,Women's rights make men worry - and the problem is?,Fairfax,0.666666667,0.5,0.5,1,0.333333333,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
251,Survival or death-by-stupid: your choice Straya,Fairfax,0.5,0,0.5,0,0.333333333,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
252,The benefits of gender equality are more than theoretical,Others,0.833333333,0,1,0.5,0.666666667,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
253,They’re all getting in on the act,News,0.666666667,1,0.5,0.5,0.333333333,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
254,"Flawed bill is a weapon, not a shield",Fairfax,0,0,0.5,0,0.333333333,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
255,Bill is likely to backfire on Christians,Fairfax,0,0,0.5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
